solution,title,source,url
No Cooking with Gas,dummy news title,dummy news source,https://www.google.com/
Minergie A Building,dummy news title,dummy news source,https://www.google.com/
No Heating with Oil,dummy news title,dummy news source,https://www.google.com/
Solar Pannels,dummy news title,dummy news source,https://www.google.com/
Clean Electricity,dummy news title,dummy news source,https://www.google.com/
Renewable Electricity,dummy news title,dummy news source,https://www.google.com/
Vegetarian,dummy news title,dummy news source,https://www.google.com/
Vegan,dummy news title,dummy news source,https://www.google.com/
No Beef & Diary,dummy news title,dummy news source,https://www.google.com/
Offset Consumption,dummy news title,dummy news source,https://www.google.com/
Buy Local,dummy news title,dummy news source,https://www.google.com/
Reduce & Reuse,dummy news title,dummy news source,https://www.google.com/
Buy only climate-neutral,dummy news title,dummy news source,https://www.google.com/
Boycott Climate Offenders,dummy news title,dummy news source,https://www.google.com/
Buy only climate-friendly,dummy news title,dummy news source,https://www.google.com/
Follow Innovation,dummy news title,dummy news source,https://www.google.com/
Support Innovation,dummy news title,dummy news source,https://www.google.com/
Innovate yourself,dummy news title,dummy news source,https://www.google.com/
Green Investmets,dummy news title,dummy news source,https://www.google.com/
Green Finances,dummy news title,dummy news source,https://www.google.com/
No (Fossil) Investments,dummy news title,dummy news source,https://www.google.com/
Leave Half to Nature,dummy news title,dummy news source,https://www.google.com/
Restore Ecosystems,dummy news title,dummy news source,https://www.google.com/
Protect Ecosystems,dummy news title,dummy news source,https://www.google.com/
No Flying,dummy news title,dummy news source,https://www.google.com/
Electric Car,dummy news title,dummy news source,https://www.google.com/
No Car,dummy news title,dummy news source,https://www.google.com/
Zero Waste,dummy news title,dummy news source,https://www.google.com/
Recycling,dummy news title,dummy news source,https://www.google.com/
