solution,title,author,url
No Cooking with Gas,dummy paper title,dummy paper author,https://www.google.com/
Minergie A Building,dummy paper title,dummy paper author,https://www.google.com/
No Heating with Oil,dummy paper title,dummy paper author,https://www.google.com/
Solar Pannels,dummy paper title,dummy paper author,https://www.google.com/
Clean Electricity,dummy paper title,dummy paper author,https://www.google.com/
Renewable Electricity,dummy paper title,dummy paper author,https://www.google.com/
Vegetarian,dummy paper title,dummy paper author,https://www.google.com/
Vegan,dummy paper title,dummy paper author,https://www.google.com/
No Beef & Diary,dummy paper title,dummy paper author,https://www.google.com/
Offset Consumption,dummy paper title,dummy paper author,https://www.google.com/
Buy Local,dummy paper title,dummy paper author,https://www.google.com/
Reduce & Reuse,dummy paper title,dummy paper author,https://www.google.com/
Buy only climate-neutral,dummy paper title,dummy paper author,https://www.google.com/
Boycott Climate Offenders,dummy paper title,dummy paper author,https://www.google.com/
Buy only climate-friendly,dummy paper title,dummy paper author,https://www.google.com/
Follow Innovation,dummy paper title,dummy paper author,https://www.google.com/
Support Innovation,dummy paper title,dummy paper author,https://www.google.com/
Innovate yourself,dummy paper title,dummy paper author,https://www.google.com/
Green Investmets,dummy paper title,dummy paper author,https://www.google.com/
Green Finances,dummy paper title,dummy paper author,https://www.google.com/
No (Fossil) Investments,dummy paper title,dummy paper author,https://www.google.com/
Leave Half to Nature,dummy paper title,dummy paper author,https://www.google.com/
Restore Ecosystems,dummy paper title,dummy paper author,https://www.google.com/
Protect Ecosystems,dummy paper title,dummy paper author,https://www.google.com/
No Flying,dummy paper title,dummy paper author,https://www.google.com/
Electric Car,dummy paper title,dummy paper author,https://www.google.com/
No Car,dummy paper title,dummy paper author,https://www.google.com/
Zero Waste,dummy paper title,dummy paper author,https://www.google.com/
Recycling,dummy paper title,dummy paper author,https://www.google.com/
