solution,selection_rule,"impact_detail",impact_type
No Cooking with Gas,Can be combined with other solutions,"{""residential_building"": 1}",reduction
No Heating with Oil,Can be combined with other solutions,"{""residential_building"": 5}",reduction
Minergie A Building,"If selected, others solutions in category are deselected","{""residential_building"": 8}",reduction
Clean Electricity,"If selected, others solutions in category are deselected",,
Renewable Electricity,"If selected, others solutions in category are deselected",,
Solar Pannels,"If selected, others solutions in category are deselected","{""electricity"": 1}",reduction
Vegetarian,"If selected, others solutions in category are deselected","{""meat_cow"": 2, ""other_meat"": 1}",reduction
No Beef & Diary,"If selected, others solutions in category are deselected","{""meat_cow"": 2, ""milk_cow"": 2}",reduction
Vegan,"If selected, others solutions in category are deselected","{""meat_cow"": 2, ""milk_cow"": 2, ""other_meat"": 1}",reduction
Buy Local,Can be combined with other solutions,"{""import"": 5}",reduction
Reduce & Reuse,Can be combined with other solutions,"{""import"": 5}",reduction
Offset Consumption,Can be combined with other solutions,"{""import"": 5}",reduction
Boycott Climate Offenders,"If selected, others solutions in category are deselected","{""factory"": 10}",reduction
Buy only climate-friendly,"If selected, others solutions in category are deselected","{""factory"": 10, ""commercial_building"": 2, ""truck"": 1, ""freight_plane"": 1, ""industry_trash"": 1}",reduction
Buy only climate-neutral,"If selected, others solutions in category are deselected","{""factory"": 10, ""commercial_building"": 4, ""truck"": 3, ""freight_plane"": 1, ""industry_trash"": 2}",reduction
Follow Innovation,Can be combined with other solutions,"{""innovation"": 1}",addition
Support Innovation,Can be combined with other solutions,"{""innovation"": 1}",addition
Innovate yourself,Can be combined with other solutions,"{""innovation"": 1}",addition
No (Fossil) Investments,Can be combined with other solutions,"{""money"": 1}",addition
Green Finances,Can be combined with other solutions,"{""money"": 1}",addition
Green Investmets,Can be combined with other solutions,"{""money"": 1}",addition
Protect Ecosystems,"If selected, others solutions in category are deselected",,
Restore Ecosystems,"If selected, others solutions in category are deselected","{""tree"": 2}",addition
Leave Half to Nature,"If selected, others solutions in category are deselected","{""tree"": 4}",addition
No Flying,Can be combined with other solutions,"{""passanger_plane"": 1}",reduction
Electric Car,"If selected, ""No Car"" is deselected","{""car"": 5}",reduction
No Car,"If selected, ""Electric Car"" is deselected","{""car"": 10}",reduction
Recycling,Can be combined with other solutions,,
Composting,Can be combined with other solutions,,
Zero Waste,Can be combined with other solutions,"{""trash"": 1}",reduction
